id_tiempo,fecha,día,mes,trimestre,año
1,2009-01-01 00:03:48,1,1,1,2009
16,2009-01-01 00:05:45,1,1,1,2009
46,2009-01-01 00:10:28,1,1,1,2009
61,2009-01-01 00:28:56,1,1,1,2009
91,2009-01-01 00:35:35,1,1,1,2009
103,2009-01-01 00:37:26,1,1,1,2009
109,2009-01-01 00:37:33,1,1,1,2009
118,2009-01-01 00:39:53,1,1,1,2009
130,2009-01-01 00:42:40,1,1,1,2009
142,2009-01-01 00:43:18,1,1,1,2009
148,2009-01-01 00:49:06,1,1,1,2009
160,2009-01-01 00:54:34,1,1,1,2009
169,2009-01-01 00:54:43,1,1,1,2009
190,2009-01-01 08:06:12,1,1,1,2009
205,2009-01-01 08:09:44,1,1,1,2009
211,2009-01-01 08:10:21,1,1,1,2009
259,2009-01-01 08:14:55,1,1,1,2009
265,2009-01-01 08:15:51,1,1,1,2009
289,2009-01-01 08:20:02,1,1,1,2009
295,2009-01-01 08:20:56,1,1,1,2009
313,2009-01-01 08:22:31,1,1,1,2009
343,2009-01-01 08:26:03,1,1,1,2009
388,2009-01-01 08:26:36,1,1,1,2009
394,2009-01-01 08:28:27,1,1,1,2009
418,2009-01-01 08:40:32,1,1,1,2009
442,2009-01-01 08:40:37,1,1,1,2009
460,2009-01-01 08:41:04,1,1,1,2009
481,2009-01-01 08:45:26,1,1,1,2009
508,2009-01-01 08:46:51,1,1,1,2009
523,2009-01-01 08:58:34,1,1,1,2009
556,2009-01-01 09:03:18,1,1,1,2009
574,2009-01-01 09:06:45,1,1,1,2009
589,2009-01-01 09:07:42,1,1,1,2009
595,2009-01-01 09:18:19,1,1,1,2009
631,2009-01-01 09:22:52,1,1,1,2009
649,2009-01-01 09:28:18,1,1,1,2009
679,2009-01-01 09:29:59,1,1,1,2009
694,2009-01-01 09:32:07,1,1,1,2009
718,2009-01-01 09:32:25,1,1,1,2009
754,2009-01-01 09:33:59,1,1,1,2009
760,2009-01-01 09:35:06,1,1,1,2009
775,2009-01-01 09:36:45,1,1,1,2009
793,2009-01-01 09:39:55,1,1,1,2009
808,2009-01-01 09:40:39,1,1,1,2009
817,2009-01-01 09:43:40,1,1,1,2009
832,2009-01-01 09:44:03,1,1,1,2009
847,2009-01-01 09:45:17,1,1,1,2009
859,2009-01-01 09:45:36,1,1,1,2009
889,2009-01-01 09:47:17,1,1,1,2009
901,2009-01-01 09:52:09,1,1,1,2009
925,2009-01-01 09:52:43,1,1,1,2009
943,2009-01-01 09:53:23,1,1,1,2009
970,2009-01-01 09:57:37,1,1,1,2009
994,2009-01-01 10:04:16,1,1,1,2009
1003,2009-01-01 10:08:26,1,1,1,2009
1045,2009-01-01 10:08:31,1,1,1,2009
1078,2009-01-01 10:17:06,1,1,1,2009
1090,2009-01-01 10:26:30,1,1,1,2009
1129,2009-01-01 10:26:47,1,1,1,2009
1150,2009-01-01 10:28:07,1,1,1,2009
1162,2009-01-01 10:28:24,1,1,1,2009
1180,2009-01-01 10:29:28,1,1,1,2009
1198,2009-01-01 10:31:26,1,1,1,2009
1222,2009-01-01 10:37:25,1,1,1,2009
1240,2009-01-01 10:37:45,1,1,1,2009
1258,2009-01-01 10:37:51,1,1,1,2009
1267,2009-01-01 10:38:23,1,1,1,2009
1330,2009-01-01 10:40:57,1,1,1,2009
1336,2009-01-01 10:47:07,1,1,1,2009
1351,2009-01-01 10:47:08,1,1,1,2009
1378,2009-01-01 10:51:18,1,1,1,2009
1393,2009-01-01 10:51:19,1,1,1,2009
1408,2009-01-01 10:51:29,1,1,1,2009
1423,2009-01-01 10:52:28,1,1,1,2009
1456,2009-01-01 10:53:30,1,1,1,2009
1483,2009-01-01 10:55:05,1,1,1,2009
1495,2009-01-01 10:57:32,1,1,1,2009
1525,2009-01-01 10:58:29,1,1,1,2009
